Comunidades autónomas;Tipología penal;periodo;Total
COMUNITAT VALENCIANA;5.3.2.-Robos con violencia en viviendas;2016;194
COMUNITAT VALENCIANA;5.3.2.-Robos con violencia en viviendas;2015;240
COMUNITAT VALENCIANA;5.3.2.-Robos con violencia en viviendas;2014;258
COMUNITAT VALENCIANA;5.3.2.-Robos con violencia en viviendas;2013;350
COMUNITAT VALENCIANA;5.3.2.-Robos con violencia en viviendas;2012;271
COMUNITAT VALENCIANA;5.3.2.-Robos con violencia en viviendas;2011;224
COMUNITAT VALENCIANA;5.3.2.-Robos con violencia en viviendas;2010;247
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2023;699
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2022;580
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2021;489
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2020;406
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2019;480
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2018;493
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2017;491
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2016;495
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2015;416
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2014;496
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2013;565
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2012;480
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2011;494
COMUNITAT VALENCIANA;5.3.3.-Robos con violencia en establecimientos;2010;524
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;4
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;3
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;3
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;9
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;5
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;4
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;8
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;7
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;1
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;6
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;7
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;11
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;7
EXTREMADURA;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;2
EXTREMADURA;1.2.-Lesiones;2023;2.070
EXTREMADURA;1.2.-Lesiones;2022;1.738
EXTREMADURA;1.2.-Lesiones;2021;1.644
EXTREMADURA;1.2.-Lesiones;2020;1.399
EXTREMADURA;1.2.-Lesiones;2019;1.691
EXTREMADURA;1.2.-Lesiones;2018;1.696
EXTREMADURA;1.2.-Lesiones;2017;1.860
EXTREMADURA;1.2.-Lesiones;2016;1.842
EXTREMADURA;1.2.-Lesiones;2015;1.700
EXTREMADURA;1.2.-Lesiones;2014;1.749
EXTREMADURA;1.2.-Lesiones;2013;1.739
EXTREMADURA;1.2.-Lesiones;2012;1.780
EXTREMADURA;1.2.-Lesiones;2011;1.825
EXTREMADURA;1.2.-Lesiones;2010;2.104
EXTREMADURA;3.1.-Agresión sexual;2023;170
EXTREMADURA;3.1.-Agresión sexual;2022;171
EXTREMADURA;3.1.-Agresión sexual;2021;120
EXTREMADURA;3.1.-Agresión sexual;2020;101
EXTREMADURA;3.1.-Agresión sexual;2019;117
EXTREMADURA;3.1.-Agresión sexual;2018;115
EXTREMADURA;3.1.-Agresión sexual;2017;81
EXTREMADURA;3.1.-Agresión sexual;2016;83
EXTREMADURA;3.1.-Agresión sexual;2015;70
EXTREMADURA;3.1.-Agresión sexual;2014;62
EXTREMADURA;3.1.-Agresión sexual;2013;82
EXTREMADURA;3.1.-Agresión sexual;2012;80
EXTREMADURA;3.1.-Agresión sexual;2011;88
EXTREMADURA;3.1.-Agresión sexual;2010;66
EXTREMADURA;3.2.-Agresión sexual con penetración;2023;43
EXTREMADURA;3.2.-Agresión sexual con penetración;2022;47
EXTREMADURA;3.2.-Agresión sexual con penetración;2021;33
EXTREMADURA;3.2.-Agresión sexual con penetración;2020;24
EXTREMADURA;3.2.-Agresión sexual con penetración;2019;27
EXTREMADURA;3.2.-Agresión sexual con penetración;2018;31
EXTREMADURA;3.2.-Agresión sexual con penetración;2017;16
EXTREMADURA;3.2.-Agresión sexual con penetración;2016;20
EXTREMADURA;3.2.-Agresión sexual con penetración;2015;17
EXTREMADURA;3.2.-Agresión sexual con penetración;2014;13
EXTREMADURA;3.2.-Agresión sexual con penetración;2013;23
EXTREMADURA;3.2.-Agresión sexual con penetración;2012;18
EXTREMADURA;3.2.-Agresión sexual con penetración;2011;19
EXTREMADURA;3.2.-Agresión sexual con penetración;2010;26
EXTREMADURA;5.1.-Hurtos;2023;2.027
EXTREMADURA;5.1.-Hurtos;2022;1.806
EXTREMADURA;5.1.-Hurtos;2021;1.279
EXTREMADURA;5.1.-Hurtos;2020;1.110
EXTREMADURA;5.1.-Hurtos;2019;1.538
EXTREMADURA;5.1.-Hurtos;2018;1.512
EXTREMADURA;5.1.-Hurtos;2017;1.495
EXTREMADURA;5.1.-Hurtos;2016;1.633
EXTREMADURA;5.1.-Hurtos;2015;1.821
EXTREMADURA;5.1.-Hurtos;2014;2.086
EXTREMADURA;5.1.-Hurtos;2013;2.212
EXTREMADURA;5.1.-Hurtos;2012;1.621
EXTREMADURA;5.1.-Hurtos;2011;1.595
EXTREMADURA;5.1.-Hurtos;2010;1.688
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;111
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;101
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;148
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;116
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;105
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;101
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;105
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;171
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;181
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;130
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;177
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;212
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;237
EXTREMADURA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;342
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2023;205
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2022;159
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2021;200
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2020;235
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2019;199
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2018;176
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2017;206
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2016;210
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2015;200
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2014;310
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2013;350
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2012;251
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2011;218
EXTREMADURA;5.2.2.-Robos con fuerza en viviendas;2010;295
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2023;177
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2022;157
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2021;129
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2020;130
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2019;145
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2018;189
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2017;149
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2016;177
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2015;200
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2014;215
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2013;242
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2012;233
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2011;208
EXTREMADURA;5.2.3.-Robos con fuerza en establecimientos;2010;244
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2023;83
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2022;84
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2021;72
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2020;60
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2019;83
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2018;61
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2017;64
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2016;75
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2015;83
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2014;75
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2013;98
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2012;105
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2011;83
EXTREMADURA;5.3.1.-Robos con violencia en vía pública;2010;110
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2023;36
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2022;36
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2021;20
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2020;22
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2019;22
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2018;18
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2017;18
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2016;20
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2015;21
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2014;14
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2013;28
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2012;16
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2011;17
EXTREMADURA;5.3.2.-Robos con violencia en viviendas;2010;16
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2023;64
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2022;41
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2021;35
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2020;41
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2019;51
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2018;46
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2017;46
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2016;39
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2015;37
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2014;40
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2013;51
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2012;43
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2011;43
EXTREMADURA;5.3.3.-Robos con violencia en establecimientos;2010;52
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;16
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;8
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;14
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;11
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;15
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;7
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;13
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;11
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;17
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;18
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;11
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;14
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;14
GALICIA;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;16
GALICIA;1.2.-Lesiones;2023;4.958
GALICIA;1.2.-Lesiones;2022;4.724
GALICIA;1.2.-Lesiones;2021;4.057
GALICIA;1.2.-Lesiones;2020;3.599
GALICIA;1.2.-Lesiones;2019;4.156
GALICIA;1.2.-Lesiones;2018;4.188
GALICIA;1.2.-Lesiones;2017;4.274
GALICIA;1.2.-Lesiones;2016;4.347
GALICIA;1.2.-Lesiones;2015;4.474
GALICIA;1.2.-Lesiones;2014;4.519
GALICIA;1.2.-Lesiones;2013;4.814
GALICIA;1.2.-Lesiones;2012;5.070
GALICIA;1.2.-Lesiones;2011;5.260
GALICIA;1.2.-Lesiones;2010;5.218
GALICIA;3.1.-Agresión sexual;2023;441
GALICIA;3.1.-Agresión sexual;2022;374
GALICIA;3.1.-Agresión sexual;2021;366
GALICIA;3.1.-Agresión sexual;2020;277
GALICIA;3.1.-Agresión sexual;2019;322
GALICIA;3.1.-Agresión sexual;2018;278
GALICIA;3.1.-Agresión sexual;2017;217
GALICIA;3.1.-Agresión sexual;2016;194
GALICIA;3.1.-Agresión sexual;2015;219
GALICIA;3.1.-Agresión sexual;2014;182
GALICIA;3.1.-Agresión sexual;2013;147
GALICIA;3.1.-Agresión sexual;2012;177
GALICIA;3.1.-Agresión sexual;2011;188
GALICIA;3.1.-Agresión sexual;2010;165
GALICIA;3.2.-Agresión sexual con penetración;2023;186
GALICIA;3.2.-Agresión sexual con penetración;2022;137
GALICIA;3.2.-Agresión sexual con penetración;2021;133
GALICIA;3.2.-Agresión sexual con penetración;2020;103
GALICIA;3.2.-Agresión sexual con penetración;2019;115
GALICIA;3.2.-Agresión sexual con penetración;2018;82
GALICIA;3.2.-Agresión sexual con penetración;2017;52
GALICIA;3.2.-Agresión sexual con penetración;2016;57
GALICIA;3.2.-Agresión sexual con penetración;2015;62
GALICIA;3.2.-Agresión sexual con penetración;2014;59
GALICIA;3.2.-Agresión sexual con penetración;2013;59
GALICIA;3.2.-Agresión sexual con penetración;2012;53
GALICIA;3.2.-Agresión sexual con penetración;2011;56
GALICIA;3.2.-Agresión sexual con penetración;2010;74
GALICIA;5.1.-Hurtos;2023;5.740
GALICIA;5.1.-Hurtos;2022;5.222
GALICIA;5.1.-Hurtos;2021;4.342
GALICIA;5.1.-Hurtos;2020;3.527
GALICIA;5.1.-Hurtos;2019;4.927
GALICIA;5.1.-Hurtos;2018;4.700
GALICIA;5.1.-Hurtos;2017;4.769
GALICIA;5.1.-Hurtos;2016;4.644
GALICIA;5.1.-Hurtos;2015;4.972
GALICIA;5.1.-Hurtos;2014;5.170
GALICIA;5.1.-Hurtos;2013;5.385
GALICIA;5.1.-Hurtos;2012;4.868
GALICIA;5.1.-Hurtos;2011;4.549
GALICIA;5.1.-Hurtos;2010;4.817
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;457
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;466
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;378
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;330
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;452
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;397
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;465
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;478
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;339
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;596
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;477
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;511
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;542
GALICIA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;336
GALICIA;5.2.2.-Robos con fuerza en viviendas;2023;431
GALICIA;5.2.2.-Robos con fuerza en viviendas;2022;500
GALICIA;5.2.2.-Robos con fuerza en viviendas;2021;389
GALICIA;5.2.2.-Robos con fuerza en viviendas;2020;473
GALICIA;5.2.2.-Robos con fuerza en viviendas;2019;655
GALICIA;5.2.2.-Robos con fuerza en viviendas;2018;716
GALICIA;5.2.2.-Robos con fuerza en viviendas;2017;673
GALICIA;5.2.2.-Robos con fuerza en viviendas;2016;831
GALICIA;5.2.2.-Robos con fuerza en viviendas;2015;724
GALICIA;5.2.2.-Robos con fuerza en viviendas;2014;1.005
GALICIA;5.2.2.-Robos con fuerza en viviendas;2013;994
GALICIA;5.2.2.-Robos con fuerza en viviendas;2012;615
GALICIA;5.2.2.-Robos con fuerza en viviendas;2011;465
GALICIA;5.2.2.-Robos con fuerza en viviendas;2010;478
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2023;629
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2022;456
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2021;424
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2020;576
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2019;554
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2018;616
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2017;610
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2016;586
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2015;572
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2014;650
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2013;704
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2012;530
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2011;564
GALICIA;5.2.3.-Robos con fuerza en establecimientos;2010;773
GALICIA;5.3.1.-Robos con violencia en vía pública;2023;258
GALICIA;5.3.1.-Robos con violencia en vía pública;2022;238
GALICIA;5.3.1.-Robos con violencia en vía pública;2021;242
GALICIA;5.3.1.-Robos con violencia en vía pública;2020;189
GALICIA;5.3.1.-Robos con violencia en vía pública;2019;210
GALICIA;5.3.1.-Robos con violencia en vía pública;2018;209
GALICIA;5.3.1.-Robos con violencia en vía pública;2017;255
GALICIA;5.3.1.-Robos con violencia en vía pública;2016;242
GALICIA;5.3.1.-Robos con violencia en vía pública;2015;247
GALICIA;5.3.1.-Robos con violencia en vía pública;2014;269
GALICIA;5.3.1.-Robos con violencia en vía pública;2013;284
GALICIA;5.3.1.-Robos con violencia en vía pública;2012;313
GALICIA;5.3.1.-Robos con violencia en vía pública;2011;283
GALICIA;5.3.1.-Robos con violencia en vía pública;2010;386
GALICIA;5.3.2.-Robos con violencia en viviendas;2023;62
GALICIA;5.3.2.-Robos con violencia en viviendas;2022;49
GALICIA;5.3.2.-Robos con violencia en viviendas;2021;56
GALICIA;5.3.2.-Robos con violencia en viviendas;2020;64
GALICIA;5.3.2.-Robos con violencia en viviendas;2019;57
GALICIA;5.3.2.-Robos con violencia en viviendas;2018;74
GALICIA;5.3.2.-Robos con violencia en viviendas;2017;61
GALICIA;5.3.2.-Robos con violencia en viviendas;2016;74
GALICIA;5.3.2.-Robos con violencia en viviendas;2015;60
GALICIA;5.3.2.-Robos con violencia en viviendas;2014;63
GALICIA;5.3.2.-Robos con violencia en viviendas;2013;76
GALICIA;5.3.2.-Robos con violencia en viviendas;2012;67
GALICIA;5.3.2.-Robos con violencia en viviendas;2011;49
GALICIA;5.3.2.-Robos con violencia en viviendas;2010;69
GALICIA;5.3.3.-Robos con violencia en establecimientos;2023;220
GALICIA;5.3.3.-Robos con violencia en establecimientos;2022;142
GALICIA;5.3.3.-Robos con violencia en establecimientos;2021;154
GALICIA;5.3.3.-Robos con violencia en establecimientos;2020;162
GALICIA;5.3.3.-Robos con violencia en establecimientos;2019;169
GALICIA;5.3.3.-Robos con violencia en establecimientos;2018;168
GALICIA;5.3.3.-Robos con violencia en establecimientos;2017;149
GALICIA;5.3.3.-Robos con violencia en establecimientos;2016;156
GALICIA;5.3.3.-Robos con violencia en establecimientos;2015;169
GALICIA;5.3.3.-Robos con violencia en establecimientos;2014;138
GALICIA;5.3.3.-Robos con violencia en establecimientos;2013;225
GALICIA;5.3.3.-Robos con violencia en establecimientos;2012;182
GALICIA;5.3.3.-Robos con violencia en establecimientos;2011;186
GALICIA;5.3.3.-Robos con violencia en establecimientos;2010;194
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2023;33
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2022;52
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2021;36
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2020;37
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2019;24
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2018;34
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2017;34
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2016;24
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2015;27
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2014;33
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2013;34
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2012;38
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2011;46
MADRID (COMUNIDAD DE);1.1.1.-Homicidios dolosos/asesinatos consumados;2010;45
MADRID (COMUNIDAD DE);1.2.-Lesiones;2023;10.028
MADRID (COMUNIDAD DE);1.2.-Lesiones;2022;9.766
MADRID (COMUNIDAD DE);1.2.-Lesiones;2021;8.871
MADRID (COMUNIDAD DE);1.2.-Lesiones;2020;7.986
MADRID (COMUNIDAD DE);1.2.-Lesiones;2019;9.687
MADRID (COMUNIDAD DE);1.2.-Lesiones;2018;9.326
MADRID (COMUNIDAD DE);1.2.-Lesiones;2017;9.434
MADRID (COMUNIDAD DE);1.2.-Lesiones;2016;9.316
MADRID (COMUNIDAD DE);1.2.-Lesiones;2015;8.981
MADRID (COMUNIDAD DE);1.2.-Lesiones;2014;8.692
MADRID (COMUNIDAD DE);1.2.-Lesiones;2013;9.002
MADRID (COMUNIDAD DE);1.2.-Lesiones;2012;9.156
MADRID (COMUNIDAD DE);1.2.-Lesiones;2011;9.702
MADRID (COMUNIDAD DE);1.2.-Lesiones;2010;9.920
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2023;1.461
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2022;1.243
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2021;1.109
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2020;938
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2019;1.007
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2018;908
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2017;703
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2016;624
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2015;524
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2014;502
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2013;512
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2012;494
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2011;526
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;2010;472
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2023;591
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2022;522
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2021;484
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2020;433
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2019;380
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2018;350
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2017;315
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2016;256
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2015;241
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2014;230
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2013;206
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2012;226
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2011;232
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;2010;236
MADRID (COMUNIDAD DE);5.1.-Hurtos;2023;26.686
MADRID (COMUNIDAD DE);5.1.-Hurtos;2022;23.288
MADRID (COMUNIDAD DE);5.1.-Hurtos;2021;19.862
MADRID (COMUNIDAD DE);5.1.-Hurtos;2020;17.530
MADRID (COMUNIDAD DE);5.1.-Hurtos;2019;23.999
MADRID (COMUNIDAD DE);5.1.-Hurtos;2018;23.169
MADRID (COMUNIDAD DE);5.1.-Hurtos;2017;23.153
MADRID (COMUNIDAD DE);5.1.-Hurtos;2016;22.451
MADRID (COMUNIDAD DE);5.1.-Hurtos;2015;21.567
MADRID (COMUNIDAD DE);5.1.-Hurtos;2014;24.198
MADRID (COMUNIDAD DE);5.1.-Hurtos;2013;25.364
MADRID (COMUNIDAD DE);5.1.-Hurtos;2012;23.596
MADRID (COMUNIDAD DE);5.1.-Hurtos;2011;21.646
MADRID (COMUNIDAD DE);5.1.-Hurtos;2010;21.442
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;1.522
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;1.500
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;1.088
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;1.106
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;1.247
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;1.054
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;1.295
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;1.507
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;1.281
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;1.992
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;2.571
